Name,Address,Rating,Total Ratings
Tech Land BD,"Shop# 838,839,840, Level# 8, Multiplan Center, New Elephant Rd, Dhaka 1205, Bangladesh",4,435
𝗔𝗕𝗡 𝗧𝗲𝗰𝗵𝗻𝗼𝗹𝗼𝗴𝘆 | 𝗕𝗲𝘀𝘁 𝗨𝘀𝗲𝗱 𝗟𝗮𝗽𝘁𝗼𝗽 𝗦𝗵𝗼𝗽 𝗶𝗻 𝗗𝗵𝗮𝗸𝗮,"2nd floor, Shop no-322, Alpona plaza, 51, 323 New Elephant Rd, Dhaka 1205, Bangladesh",5,50
Computer City Technologies Limited Multiplan,"Shop No-1038-1039, Level-10, Multiplan Centre, 69-71, New Elephant Road, Dhaka 1205, Bangladesh",4.3,8507
Bangladesh Laptop Gallery,"Shop#12, Ground Floor,ICT Bhaban (Suvastu Arched, New Elephant Rd, Dhaka 1205, Bangladesh",5,75
Laptop World Dhaka,"69, 71 New Elephant Rd, Dhaka 1205, Bangladesh",4.8,38
Laptop Vai,"ICT Bhaban, 411, 4th Floor, Suvastu Arcade, New Elephant Rd, Dhaka 1205, Bangladesh",5,8
ABFA Computer And Gadgets Dhaka,"ABFA COMPUTER AND GADGETS Ground Floor Shop No 15,16 and 17 Suvastu Arcade ICT Bhavon, 45 New Elephant Rd, Dhaka 1205, Bangladesh",4.2,685
Laptop BD,"69, Multiplan Center, Shop #352, Lavel- 3, 71 New Elephant Rd, Dhaka 1205, Bangladesh",4.6,21
Laptop Gadget BD,"Shop No:205,Level2,(3rd Floor, Suvastu Arcade, ICT Bhaban, New Elephant Rd, Dhaka 1205, Bangladesh",5,15
Brothers Gadget | Laptop Shop,"Multiplan Center, New Elephant Rd, Dhaka 1205, Bangladesh",1.6,7
Sell Tech BD,"Shop: 703,704,728,740, Level:7, Suvastu Arcade (ICT Bhaban, New Elephant Rd, Dhaka 1205, Bangladesh",4.8,261
Computer Village - Multiplan Branch,"Shop No 513, 514, Level 5, New Elephant Road, Inside ECS City Center, Dhaka 1205, Bangladesh",4.8,76
Best Computer Hub Ltd,"Level-1, GM Plaza, 93 New Elephant Rd, Dhaka 1205, Bangladesh",5,15
Computer Mania BD,"23/G/1 4th Floor, B Tower, Panthapath, Dhaka 1215, Bangladesh",4.8,2925
BetaVerse,"Bata Signal Circle, New Elephant Rd, Dhaka 1205, Bangladesh",4.8,8
"Aroz Technology BD, Multiplan Center Branch","Shop No:574, Level:05, Multiplan Center, 71 New Elephant Rd, Dhaka 1205, Bangladesh",4.3,34
Sardar Tech | Used laptop shop in Dhaka,"Level- 06, Shop No: 54, Eastern Mollika shopping Complex, New Elephant Rd, Dhaka 1205, Bangladesh",4.8,19
Tech Monster BD,"Level 5, Suite -508, KJH Mansion, 83 New Elephant Rd, Dhaka 1205, Bangladesh",4.6,161
Best Used Laptop Shop In Bd | Etc Computer,"51, Shop : 330/331, 2nd Floor, Alpana Plaza, New Elephant Rd, Dhaka 1205, Bangladesh",3.3,8
ELECTRO SOFT BD,"ECS Computer City, Multiplan Center, Shop No: 102-103, Level, 1 New Elephant Rd, Dhaka 1205, Bangladesh",4.2,18
Aroz Technology BD (Alpona Plaza Branch),"Shop: 303, Level: 3, Alpona Plaza, New Elephant Rd, Dhaka, Bangladesh",4.2,5
"Computer Archives I Trusted and Reliable Computer, Laptop & Gaming PC Retail Shop in Bangladesh","Level 6, Shop 652-53,656-57, Multiplan Center, Dhaka 1205, Bangladesh",4.8,33
FOUR STAR IT (Multiplan Branch),"Level 9, Shop No #929-930, 69, Multiplan Centre, 71 New Elephant Rd, Dhaka 1205, Bangladesh",4.1,9
Computer Zone,"Multiplan Center, Suit-936, Level-9, 69/71, ECS Computer City, New Elephant Rd, Dhaka 1205, Bangladesh",3.9,34
Sonali Trade,"69-71, Shop No-1001, Level-10, ECS Computer City, Multiplan Center, New Elephant Road, Dhaka 1205, Bangladesh",4.8,26
Samanta Computer & Services,"1st Floor),Shop No : SR 123/1, BCS Computer City , IDB Bhaban, Level:-1,Shop:-108-109, Level -2, Shop: 226 Multiplan Center, 27 New Elephant Rd, Dhaka, Bangladesh",3.6,25
Tech Moon BD,"Shop-333, Level-03, Multiplan Center, Multiplan Center, 69-71, 1205 New Elephant Rd, Dhaka 1205, Bangladesh",5,11
chl gadgets,"New Elephant Road Multiplan Centre, Shop Name: CHL, Shop # 1009, Level #10, 69-71, Dhaka 1205, Bangladesh",4,4
PC AID,"Suite no: 842, Level 8, Multiplan Center, New Elephant Rd, Dhaka 1205, Bangladesh",4.8,65
ATL Computer House,"4th Floor, Tropical Center, Road-04, New Elephant Road, Dhaka 1205, Bangladesh",4.7,13
"Star Tech Ltd. | Leading Computer, Laptop & Gaming PC Retail & Online Shop in Bangladesh","Shop-942-944, Level-09, Multiplan Center, New Elephant Rd, Dhaka 1205, Bangladesh",4.2,3026
LAPTOP LAND BD,"Shop No-21,(1st) Ground Floor, Suvasto Arcade(ict Bhaban, New Elephant Rd, Dhaka 1205, Bangladesh",5,1
JM Computer fair,"ict vhobon, Suvastu, New Elephant Rd, Dhaka 1205, Bangladesh",4.7,23
আলট্রা টেকনোলজি,"Multiplan Center, Shop No-511-512, Level-05, ECS Computer City, 69 71 New Elephant Rd, Dhaka 1205, Bangladesh",3.9,61
Panaroma Computer,"Level # 2, Shop # SR-235,236-237, 69, 1205, Multiplan Center, ECS Computer City, 71 New Elephant Rd, Dhaka 1205, Bangladesh",4.3,53
Smart Laptop Solution,"Multiplan Center, Multiplan Center, Level # 8, Shop # 875, New Elephant Rd, Dhaka 1205, Bangladesh",4.2,11
LABEL IT-BD,"Sheltech Sierra, Shop#225,Lavel#3, 236 New Elephant Rd, Dhaka 1205, Bangladesh",5,3
Silicon Tech,"Shop No-330, Level-3, Multiplan Centre, 69-71 New Elephant Rd, Dhaka 1205, Bangladesh",5,3
Nur Technology,"Shop No 12, Hi Mension, 42 New Elephant Rd, Dhaka 1205, Bangladesh",4.2,73
PC Express,"Shop No# 312-313, Level # 3, Suvastu Arcade (ICT Bhaban, New Elephant Rd, Dhaka 1205, Bangladesh",4.4,28
Rose Tech & Computer,"Shop No: G17A, K.J.H Mansion, 83 Laboratory Rd, Dhaka 1205, Bangladesh",4.9,28
Maa Computer,"111, Ground Floor, VIP Shopping Center, New Elephant Rd, Dhaka 1205, Bangladesh",3,41
tech city,"69-71, ECS Computer City, Multiplan Center, Shop: 246/A,Level: 2, New Elephant Rd, Dhaka 1205, Bangladesh",5,3
TechUp Bangladesh,"Shop: G9-10, Suvastu Arcade ICT Bhaban, 46-48 New Elephant Rd, Dhaka 1205, Bangladesh",5,11
AR Gadget,"Shop No. 263 & 264, Level-2, Ecs Computer City, Multiplan Center, New Elephant Rd, Dhaka 1205, Bangladesh",4.3,23
Access Electronics,"Shop: 213Level- 2, ECS Computer City (Multiplan, New Elephant Rd, Dhaka 1205, Bangladesh",,
System Builder BD,"Shop 38, 3rd floor, Bata Signal, Sahera Tropical Centre, New Elephant Rd, Dhaka 1205, Bangladesh",5,3
Datatech Computer - Multiplan Branch,"Shop-661-663, Multiplan Center, New Elephant Rd, Dhaka 1205, Bangladesh",4.7,18
গ্লোবাল ব্র্যান্ড প্রাইভেট লিমিটেড,"69, ECS Computer City, Multiplan Center, Shop No-706, 707, Level-07, 71 New Elephant Rd, Dhaka 1205, Bangladesh",4.1,11
Discover IT (Multiplan Branch) - HP Partner,"Multiplan Center, 39 New Elephant Road 3rd Floor Kazi Bhaban, Dhaka 1000, Bangladesh",3.4,5
COMPUTER SOULS,"236 New Elephant Rd, Dhaka 1205, Bangladesh",4.7,6
WITS BD,"Shop no 104, 105 (Ground Floor), 253-254, Concord Emporium,, katabon turn, New Elephant Rd, Dhaka 1205, Bangladesh",5,12
LAPTOP SERVICE CENTER DHAKA BANGLADESH BD MH SYSTEM shop # 902 multiplane,"shop # 404 level # 4, NIribily hotal, 42 New Elephant Rd, Dhaka 1205, Bangladesh",2.8,18
YORU TECH,"1205 New Elephant Rd, Dhaka 1205, Bangladesh",,
One Stop Solution,"6Th Floor, 39, Kazi Bhaban, New Elephant Rd, Dhaka 1205, Bangladesh",4.6,49
